<в, PREP, 20724.0>
<и, CONJ, 13967.0>
<на, PREP, 7468.0>
<год, NOUN, 7167.0>
<он, NPRO, 6922.0>
<есть, VERB, 6127.0>
<с, PREP, 4793.0>
<де, PRCL, 3891.0>
<экспедиция, NOUN, 2867.0>
<что, CONJ, 2703.0>
<который, ADJF, 2555.0>
<не, PRCL, 2433.0>
<по, PREP, 2399.0>
<из, PREP, 2384.0>
<к, PREP, 2371.0>
<они, NPRO, 2109.0>
<а, CONJ, 2022.0>
<свой, ADJF, 1901.0>
<это, NPRO, 1605.0>
<о, PREP, 1602.0>
<до, PREP, 1418.0>
<тот, NPRO, 1406.0>
<от, PREP, 1380.0>
<но, CONJ, 1356.0>
<как, CONJ, 1355.0>
<новый, ADJF, 1334.0>
<время, NOUN, 1299.0>
<остров, NOUN, 1265.0>
<после, PREP, 1223.0>
<для, PREP, 1201.0>
<этот, ADJF, 1178.0>
<кортес, NOUN, 1067.0>
<за, PREP, 1033.0>
<также, PRCL, 1017.0>
<город, NOUN, 972.0>
<один, ADJF, 909.0>
<где, ADVB, 886.0>
<корабль, NOUN, 852.0>
<первый, NUMR, 830.0>
<испания, NOUN, 827.0>
<губернатор, NOUN, 817.0>
<у, PREP, 799.0>
<стал, VERB, 795.0>
<она, NPRO, 783.0>
<вершина, NOUN, 780.0>
<испанский, ADJF, 779.0>
<первый, ADJF, 755.0>
<человек, NOUN, 751.0>
<земля, NOUN, 746.0>
<другой, ADJF, 737.0>
<весь, ADJF, 733.0>
<же, PRCL, 716.0>
<два, NUMR, 680.0>
<король, NOUN, 678.0>
<индеец, NOUN, 678.0>
<под, PREP, 676.0>
<то, NPRO, 647.0>
<восхождение, NOUN, 647.0>
<через, PREP, 643.0>
<при, PREP, 635.0>
<река, NOUN, 624.0>
<побережье, NOUN, 617.0>
<писарро, UNKNOWN, 617.0>
<испанец, NOUN, 616.0>
<франсиско, UNKNOWN, 616.0>
<южный, ADJF, 585.0>
<так, ADVB, 582.0>
<педро, NOUN, 574.0>
<чтобы, CONJ, 568.0>
<путь, NOUN, 568.0>
<берег, NOUN, 565.0>
<отправился, VERB, 545.0>
<перо, NOUN, 530.0>
<однако, CONJ, 528.0>
<америка, NOUN, 527.0>
<конкистадор, NOUN, 521.0>
<хуан, NOUN, 519.0>
<северный, ADJF, 515.0>
<несколько, NUMR, 515.0>
<день, NOUN, 504.0>
<часть, NOUN, 501.0>
<место, NOUN, 491.0>
<около, PREP, 489.0>
<море, NOUN, 486.0>
<или, CONJ, 485.0>
<колумб, NOUN, 483.0>
<ещё, ADVB, 483.0>
